# port,duration,pkt_size,rate,mbps,mpps,loss
3,60,1024,19.0000,4662.3154,0.5714,0.0000
0,60,1024,20.0000,4907.0359,0.6014,0.0201
1,60,1024,20.0000,4906.9926,0.6013,0.0215
2,60,1024,20.0000,4907.9067,0.6015,0.0030
3,60,1024,20.0000,4908.0468,0.6015,0.0000
0,60,1024,21.0000,5066.6591,0.6209,0.0064
1,60,1024,21.0000,5066.9562,0.6210,0.0015
2,60,1024,21.0000,5066.4974,0.6209,0.0109
3,60,1024,21.0000,5067.0413,0.6210,0.0002
0,60,1024,22.0000,5398.2374,0.6615,0.0063
1,60,1024,22.0000,5397.2109,0.6614,0.0253
2,60,1024,22.0000,5397.2595,0.6614,0.0244
3,60,1024,22.0000,5398.5693,0.6616,0.0000
0,60,1024,23.0000,5642.9591,0.6915,0.0120
1,60,1024,23.0000,5642.5081,0.6915,0.0206
2,60,1024,23.0000,5643.6041,0.6916,0.0017
3,60,1024,23.0000,5643.5459,0.6916,0.0027
0,60,1024,24.0000,5789.9522,0.7096,0.0211
1,60,1024,24.0000,5789.9071,0.7095,0.0217
2,60,1024,24.0000,5791.0841,0.7097,0.0024
3,60,1024,24.0000,5791.2329,0.7097,0.0000
0,60,1024,25.0000,6133.8824,0.7517,0.0194
1,60,1024,25.0000,6134.7353,0.7518,0.0041
2,60,1024,25.0000,6134.2831,0.7518,0.0130
3,60,1024,25.0000,6134.7577,0.7518,0.0053
0,60,1024,26.0000,6377.8033,0.7816,0.0356
1,60,1024,26.0000,6380.1887,0.7819,0.0000
2,60,1024,26.0000,6380.4845,0.7819,0.0001
3,60,1024,26.0000,6380.4937,0.7819,0.0000
0,60,1024,27.0000,6512.6456,0.7981,0.0249
1,60,1024,27.0000,6512.8453,0.7981,0.0226
2,60,1024,27.0000,6513.6996,0.7982,0.0170
3,60,1024,27.0000,6514.3513,0.7983,0.0068
0,60,1024,28.0000,6867.1530,0.8416,0.0458
1,60,1024,28.0000,6868.3433,0.8417,0.0285
2,60,1024,28.0000,6869.1789,0.8418,0.0212
3,60,1024,28.0000,6870.4758,0.8420,0.0025
0,60,1024,29.0000,7108.7366,0.8712,0.0689
1,60,1024,29.0000,7111.7330,0.8715,0.0269
2,60,1024,29.0000,7115.0669,0.8719,0.0038
3,60,1024,29.0000,7115.1719,0.8720,0.0021
0,60,1024,30.0000,7230.0036,0.8860,0.0813
1,60,1024,30.0000,7233.4755,0.8865,0.0324
2,60,1024,30.0000,7238.1724,0.8870,0.0073
3,60,1024,30.0000,7238.5506,0.8871,0.0025
0,60,1024,31.0000,7599.0426,0.9313,0.0442
1,60,1024,31.0000,7601.0189,0.9315,0.0166
2,60,1024,31.0000,7606.2991,0.9321,0.0014
3,60,1024,31.0000,7605.6060,0.9321,0.0110
0,60,1024,32.0000,7843.1042,0.9612,0.0629
1,60,1024,32.0000,7845.2634,0.9614,0.0355
2,60,1024,32.0000,7852.8202,0.9624,0.0036
3,60,1024,32.0000,7852.5062,0.9623,0.0078
0,60,1024,33.0000,7951.0424,0.9744,0.0847
1,60,1024,33.0000,7952.9048,0.9746,0.0614
2,60,1024,33.0000,7963.3423,0.9759,0.0000
3,60,1024,33.0000,7963.0984,0.9759,0.0036
0,60,1024,34.0000,8329.8492,1.0208,0.0813
1,60,1024,34.0000,8329.2599,1.0207,0.0884
2,60,1024,34.0000,8341.5887,1.0223,0.0113
3,60,1024,34.0000,8339.4930,1.0220,0.0362
0,60,1024,35.0000,8576.5903,1.0511,0.0731
1,60,1024,35.0000,8578.9467,1.0513,0.0476
