port,duration,pkt_size,rate,mbps,mpps,loss
0,60,1024,17.0000,241.2862,0.5027,0.0000
1,60,1024,17.0000,241.2857,0.5027,0.0000
2,60,1024,17.0000,241.2886,0.5027,0.0000
3,60,1024,17.0000,241.2886,0.5027,0.0000
0,60,1024,18.0000,259.8137,0.5413,0.0005
1,60,1024,18.0000,259.8154,0.5413,0.0000
2,60,1024,18.0000,259.8173,0.5413,0.0000
3,60,1024,18.0000,259.8163,0.5413,0.0000
0,60,1024,19.0000,274.2277,0.5713,0.0002
1,60,1024,19.0000,274.2288,0.5713,0.0000
2,60,1024,19.0000,274.2354,0.5713,0.0000
3,60,1024,19.0000,274.2359,0.5713,0.0000
0,60,1024,20.0000,283.8554,0.5914,0.0032
1,60,1024,20.0000,283.8512,0.5914,0.0062
2,60,1024,20.0000,283.8716,0.5914,0.0000
3,60,1024,20.0000,283.8716,0.5914,0.0000
0,60,1024,21.0000,303.0684,0.6314,0.0019
1,60,1024,21.0000,303.0722,0.6314,0.0005
2,60,1024,21.0000,303.0957,0.6314,0.0000
3,60,1024,21.0000,303.0916,0.6314,0.0000
0,60,1024,22.0000,317.5043,0.6615,0.0115
1,60,1024,22.0000,317.5160,0.6615,0.0078
2,60,1024,22.0000,317.5474,0.6616,0.0000
3,60,1024,22.0000,317.5474,0.6616,0.0000
0,60,1024,23.0000,326.3205,0.6798,0.0200
1,60,1024,23.0000,326.3332,0.6799,0.0170
2,60,1024,23.0000,326.4167,0.6800,0.0000
3,60,1024,23.0000,326.4162,0.6800,0.0000
0,60,1024,24.0000,346.3574,0.7216,0.0069
1,60,1024,24.0000,346.3359,0.7215,0.0133
2,60,1024,24.0000,346.4114,0.7217,0.0000
3,60,1024,24.0000,346.4124,0.7217,0.0000
0,60,1024,25.0000,360.7542,0.7516,0.0172
1,60,1024,25.0000,360.7177,0.7515,0.0273
2,60,1024,25.0000,360.8689,0.7518,0.0000
3,60,1024,25.0000,360.8683,0.7518,0.0000
0,60,1024,26.0000,368.8807,0.7685,0.0325
1,60,1024,26.0000,368.8257,0.7684,0.0478
2,60,1024,26.0000,369.0023,0.7688,0.0000
3,60,1024,26.0000,369.0013,0.7688,0.0000
0,60,1024,27.0000,389.3055,0.8111,0.0784
1,60,1024,27.0000,389.2116,0.8109,0.1038
2,60,1024,27.0000,389.6872,0.8118,0.0000
3,60,1024,27.0000,389.6857,0.8118,0.0000
0,60,1024,28.0000,403.8628,0.8414,0.0569
1,60,1024,28.0000,403.8159,0.8413,0.0688
2,60,1024,28.0000,404.1128,0.8419,0.0000
3,60,1024,28.0000,404.1118,0.8419,0.0000
0,60,1024,29.0000,409.6552,0.8534,0.4491
1,60,1024,29.0000,409.0732,0.8522,0.5906
2,60,1024,29.0000,411.5291,0.8574,0.0000
3,60,1024,29.0000,411.5296,0.8574,0.0000
0,60,1024,30.0000,432.4044,0.9008,0.1202
1,60,1024,30.0000,431.9281,0.8999,0.2303
2,60,1024,30.0000,432.9895,0.9021,0.0000
3,60,1024,30.0000,432.9895,0.9021,0.0000
0,60,1024,31.0000,443.6568,0.9243,0.7967
1,60,1024,31.0000,441.5121,0.9198,1.2761
2,60,1024,31.0000,447.2339,0.9317,0.0001
3,60,1024,31.0000,447.2259,0.9317,0.0001
0,60,1024,32.0000,449.8350,0.9372,0.9474
1,60,1024,32.0000,446.7783,0.9308,1.6203
2,60,1024,32.0000,454.1838,0.9462,0.0000
3,60,1024,32.0000,454.1843,0.9462,0.0000
0,60,1024,33.0000,468.5571,0.9762,1.6167
